nome,foto,partido
Acir Gurgacz,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4981.jpg,PDT
Alessandro Vieira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,PSDB
Alexandre Silveira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4610.jpg,PSD
Alvaro Dias,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador945.jpg,PODEMOS
Angelo Coronel,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,PSD
Carlos Fávaro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6295.jpg,PSD
Carlos Portinho,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,PL
Carlos Viana,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,MDB
Chico Rodrigues,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,DEM
Cid Gomes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,PDT
Confúcio Moura,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg,MDB
Daniella Ribeiro,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg,PP
Davi Alcolumbre,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,DEM
Dário Berger,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg,MDB
Eduardo Braga,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,MDB
Eduardo Girão,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5976.jpg,PODEMOS
Eduardo Gomes,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,MDB
Eliane Nogueira,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5898.jpg,PP
Eliziane Gama,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,CIDADANIA
Elmano Férrer,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg,PP
